Time,Exports,F_C_E,Forest_rents,GDP,G_F_C_E,Domestic_savings,Savings,Imports ,Industry,Inflation,Manufacturing,Gas_rents,Oil_rents,Remittance,Services,Unemployment
1976,4.746081768,102.9787494,0.662682918,5.661361201,4.067941007,-2.978749352,-0.840906616,17.63619316,14.44920279,-17.63041929,9.283922984,0.09890791,0.005780921,0.185440982,33.63634027,
1977,7.040751965,93.81747647,2.420676261,2.67305605,5.089239041,6.182523531,10.03992261,12.38144623,16.7290739,-3.210155929,11.22620919,0.1408572,0.006319153,0.817260574,34.37286917,
1978,5.557663161,98.37639009,1.746744636,7.073837733,4.875570878,1.623609908,5.704443543,15.4808518,14.30971269,25.61888559,9.910996048,0.073972611,0.004245746,0.869126602,31.43997901,
1979,6.109219481,98.48475245,0.628411967,4.801634601,6.283768599,1.515247545,7.076281516,15.79784406,15.68645481,12.56450599,9.861451587,0.05779422,0.007750118,1.099475884,31.86153313,
1980,5.494283791,97.94927223,0.663665644,0.819141869,6.141040648,2.050727766,8.332931314,17.88294732,20.11667622,17.55506709,14.4874848,0.096208571,0.006261258,1.867161932,44.55566559,
1981,5.130863153,85.16108559,0.528625535,7.233943695,4.391320116,14.83891441,21.14318205,14.11629594,19.80597195,9.894690312,13.98206522,0.013190646,0.004927945,1.88176747,45.69143521,
1982,5.075299866,85.21908477,0.866880713,2.134327836,4.432335171,14.78091523,23.52848225,15.53162433,20.04288227,9.855812463,13.9391494,0,0.00355682,2.841847986,46.14477528,
1983,5.603849031,87.95122266,0.601347675,3.8810464,4.309127108,12.04877734,23.09953972,14.71303159,20.87162487,8.487755878,15.04367939,0.07509506,0.00967401,3.64817268,45.78258201,
1984,3.396255135,93.22292245,0.491557214,4.803310015,4.344627406,6.77707755,16.29489054,13.41547204,21.4305496,7.875566349,15.6039256,0.02916565,0.015034824,2.64653898,41.64744981,2.04
1985,5.3844786,85.48561129,0.291143763,3.342014654,4.030633296,14.51438871,21.52029364,12.83770602,20.32166342,18.4951157,14.45807009,0.029308868,0.014993193,2.255417149,44.41744049,2.02
1986,5.182931963,84.78876215,0.524204677,4.173382559,4.20118153,15.21123785,22.77606457,11.83581054,20.37901415,8.254404894,14.22323064,0.136235575,0.007659904,2.64665008,45.08441949,0.96
